titulo,ano,local,coautores,link_externo
CÂMARAS DE ECO POLÍTICAS DURANTE OS ATOS ANTIDEMOCRÁTICOS: topologia de interação no Twitter/X,2025,N/A,William Tsuyoshi Matsuda; Helena de Medeiros Caseli; Alan Demétrius Baria Valejo; Sylvia Iasulaitis,N/A
A Study of Transductive Graph-Based Regression,2025,N/A,Renan Guilherme Nespolo; Alan Demétrius Baria Valejo; Alneu de Andrade Lopes,N/A
Analyzing the Impact of Coarsening on k-Partite Network Classification,2024,Springer Nature Switzerland,Thiago de Paulo Faleiros; Paulo Eduardo Althoff; Alan Demétrius Baria Valejo,N/A
Semi-Supervised Coarsening of Bipartite Graphs for Text Classification via Graph Neural Network,2024,IEEE,Nícolas Roque dos Santos; Diego Minatel; Alan Demétrius Baria Valejo; Alneu de Andrade Lopes,N/A
Proposta de projeto pedagógico do curso de engenharia de computação da UFSCar baseado em competências e atividades curriculares extensionistas,2024,Universidade Federal de São Carlos,Fredy João Valente; Edilson Reis Rodrigues Kato; Ricardo Menotti; Luciano de Oliveira Néris; Alan Demétrius Baria Valejo; Jander Moreira; Murillo Rodrigo Petrucelli Homem; Kelen Cristiane Teixeira Vivaldini,N/A
Geolocalized Transductive Graph-Based Regression Applied to Sustainability,2024,Springer Nature,Renan Guilherme Nespolo; Alan Demétrius Baria Valejo; Alneu de Andrade Lopes¹,N/A
Check for updates A Study of Transductive Graph-Based Regression,2024,Springer Nature,Alan Demétrius Baria Valejo,N/A
Geolocalized Transductive Graph-Based Regression Applied to Sustainability Indicators Prediction,2023,Springer Nature Switzerland,Renan Guilherme Nespolo; Alan Demétrius Baria Valejo; Alneu de Andrade Lopes,N/A
A Study of Transductive Graph-Based Regression,2023,Springer Nature Switzerland,Renan Guilherme Nespolo; Alan Demétrius Baria Valejo; Alneu de Andrade Lopes,N/A
Multilevel Coarsening for Interactive Visualization of Large Bipartite Networks,2022,Frontiers Media SA,Alan Demétrius Baria Valejo; Renato Fabbri; Alneu de Andrade Lopes; Liang Zhao; Maria Cristina Ferreira de Oliveira,N/A
"Information Management and Big Data: 8th Annual International Conference, SIMBig 2021, Virtual Event, December 1–3, 2021, Proceedings",2022,Springer Nature,Juan Antonio Lossio-Ventura; Jorge Valverde-Rebaza; Eduardo Díaz; Denisse Muñante; Carlos Gavidia-Calderon; Alan Demétrius Baria Valejo; Hugo Alatrista-Salas,N/A
Data mining techniques for road accidentes: Clustering versus complex netwoks,2020,N/A,María Lígia Chuerubim; Alan DB Valejo; George Miguel Farha Diban; Barbara Stolte Bezerra; Irineu da Silva; Bruno Oliveira Lázaro,N/A
Evaluation of database balancing techniques for road accident severity classification employing arficial neural network,2020,N/A,Maria Lígia Chuerubim; Leonardo N Ferreira; Alan Valejo; Bárbara Stolte Bezerra; Giuliano Sant'Anna Marotta; Irineu da Silva,N/A
Limitações do uso dos modelos de árvore de classificação na investigação da severidade de acidentes rodoviários,2019,N/A,Maria Lígia Chuerubim; Alan Valejo; Barbara Stolte Bezerra; Irineu da Silva,N/A
Multilevel method in bipartite networks,2019,N/A,Alan Valejo,N/A
Limitation of classification tree models in investigating road accident severity,2019,N/A,Maria Lígia Chuerubim; Alan Valejo; Barbara Stolte Bezerra; Irineu da Silva,N/A
Um sistema de controle neuro-fog para infraestruturas residenciais via objetos inteligentes,2018,N/A,José R Torres Neto; ADB Valejo; Rodolfo Ipolito Meneguette; Leandro A Villas; Jó Ueyama,N/A
Spatial and temporal identification of community structures of road accidents through homogeneous complex networks and measures of centrality,2018,N/A,Maria Lígia Chuerubim; Alan Valejo; Irineu da Silva,N/A
Bayesian networks modeling in traffic accidents: case study for brazil,2018,N/A,Maria Lígia Chuerubim; Alan Valejo; Irineu da Silva,N/A
CÂMARAS DE ECO POLÍTICAS DURANTE OS ATOS ANTIDEMOCRÁTICOS,N/A,N/A,William Tsuyoshi Matsuda; Helena de Medeiros Caseli; Alan Demetrius Baria Valejo; Sylvia Iasulaitis,N/A
investigating road accident severity,N/A,N/A,Maria Lígia Chuerubim; Alan Valejo; Barbara Stolte Bezerra; Irineu da Silva,N/A
Parametric PCA for unsupervised metric learning,2020,North-Holland,Alexandre LM Levada,N/A
Voice command recognition with dynamic time warping (dtw) using graphics processing units (gpu) with compute unified device architecture (cuda),2007,IEEE,Gustavo Poli; Joao F Mari; Jose Hiroki Saito; Alexandre LM Levada,N/A
Novel approaches for face recognition: template-matching using dynamic time warping and LSTM Neural Network Supervised Classification,2008,IEEE,Alexandre LM Levada; Debora C Correa; Denis HP Salvadeo; Jose H Saito; Nelson DA Mascarenhas,N/A
Clustering of fully polarimetric SAR data using finite Gp0 mixture model and SEM Algorithm,2008,IEEE,Michelle M Horta; Nelson DA Mascarenhas; Alejandro C Frery; Alexandre LM Levada,N/A
Pseudolikelihood equations for potts mrf model parameter estimation on higher order neighborhood systems,2008,IEEE,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannús,N/A
