titulo,ano,local,coautores,link_externo
Named entity recognition for brazilian portuguese product titles,2021,Springer International Publishing,Diego F Silva; Alcides M e Silva; Bianca M Lopes; Karina M Johansson; Fernanda M Assi; Júlia TC de Jesus; Reynold N Mazo; Daniel Lucrédio; Helena M Caseli; Livy Real,N/A
Supporting multiple persistence models for PaaS applications using MDE: Issues on cloud portability,2015,N/A,Elias Adriano Nogueira da Silva; Daniel Lucrédio; Ana Moreira; Renata Pontin de Mattos Fortes,N/A
Utilização de componentes Enterprise JavaBeans no desenvolvimento de Sistemas Web,2014,N/A,Wilson Daniel da Silva; Daniel Lucrédio,N/A
Mapping code generation templates to a reference implementation: towards automatic code migration,2010,N/A,Daniel Lucrédio; Renata Pontin de Mattos Fortes,N/A
A Systematic Process for Domain Engineering.,2008,N/A,Eduardo Santana de Almeida; Alexandre Alvaro; Vinicius Cardoso Garcia; Daniel Lucredio; Renata Pontin de Mattos Fortes; Silvio Romero de Lemos Meira,N/A
Lift: Reusing knowledge from legacy systems,2007,SBC,Kellyton dos Santos Brito; Vinícius Cardoso Garcia; Daniel Lucrédio; Eduardo Santana de Almeida; Silvio Lemos Meira,N/A
Transformando Modelos da MDA com o apoio de Componentes de Software,2007,SBC,Marco Antonio Pereira; Antonio Francisco do Prado; Mauro Biajiz; Valdirene Fontanette; Daniel Lucrédio,N/A
Reinforcing design rationale in software projects developed in academic environment,2007,N/A,Débora Maria Barroso Paiva; André P Freire; Daniel Lucrédio; Rosana Teresinha Vaccare Braga; Renata Pontin de Mattos Fortes,N/A
LIFT: Reusing Knowledge from Legacy Systems,2007,N/A,KS Brito; VC Garcia; DA Lucrédio; ES Almeida; SRL Meira,N/A
Using reengineering and aspect-based techniques to retrieve knowledge embedded in object-oriented legacy system,2004,IEEE,Vinicius Cardoso Garcia; Daniel Lucredio; Antônio Francisco do Prado; Eduardo Santana de Almeida; Alexandre Alvaro,N/A
Aspect IPM: Towards an incremental process model based on AOP for component-based development,2004,N/A,Alexandre Alvaro; Daniel Lucrédio; Vinicius Cardoso Garcia,N/A
An Approach for Construction and Reuse of Software Components Frameworks implemented in Delphi,2004,N/A,João LC Moraes; Adriano A Bossonaro; Vinicius C Garcia; Valdirene Fontanette; Daniel Lucrédio; Antonio F Prado,N/A
The Impact of Microservices on the Evolution of a Software Product Line,2020,"Proceedings of the 14th Brazilian Symposium on Software Components, Architectures, and Reuse",Alex Malmann Becker; Daniel Lucrédio,N/A
Using Model-Driven Development to Support Portable PaaS Applications,2016,Springer International Publishing,Elias Nogueira; Daniel Lucrédio; Ana Moreira; Renata Fortes,N/A
Aplicando a Metodologia Ágil Scrum para apoio ao Gerenciamento de Requisitos,2014,N/A,Felipe Luiz Carnevali; Daniel Lucrédio,N/A
Mapping generated code to a reference implementation–towards automatic code migration,2010,N/A,Daniel Lucrédio; R de Mattos Fortes,N/A
Evaluating the impact of MDD in software reuse,2009,N/A,Daniel Lucrédio,N/A
"Desenvolvimento web oritentado a modelos: conceitos, ferramentas e técnicas",2009,N/A,Daniel Lucrédio; Thiago Jabur Bittar; Renata Pontin de Mattos Fortes,N/A
ASPECT IPM: Towards an Incremental Process Model Based on AOP for Component-Based Systems,2005,SCITEPRESS,Alexandre Alvaro; Eduardo Santana de Almeida; Silvio Romero de Lemos Meira; Daniel Lucrédio; Vinicius Cardoso Garcia; Antonio Francisco do Prado,N/A
Em direçao a uma abordagem para separaçao de interesses por meio de Mineraçao de Aspectos e Refactoring,2004,N/A,Vinicius C Garcia; Eduardo K Piveta; Daniel Lucrédio; Alexandre Alvaro; Eduardo S de Almeida; Luiz C Zancanella; Antonio F do Prado,N/A
Process Patterns for the Distributed Component Development1,2003,N/A,Alexandre Alvaro; Daniel Lucrédio; Eduardo Santana de Almeida; Antonio Francisco do Prado; Luis Carlos Trevelin,N/A
Um Framework de Componentes para Aspectos Não Funcionais,2003,N/A,Alexandre Alvaro; Daniel Lucrédio; Luis Carlos Trevelin,N/A
Unsupervised Statistical Keyword Extraction Pipeline: Is LLM All You Need?,2024,Springer Nature Switzerland,Fernando Rezende Zagatti; Daniel Lucrédio; Helena de Medeiros Caseli,N/A
Exploring Score-Based Ranking Fairness in Marketplace Environments Through Simulation,2024,Springer Nature Switzerland,Lucas C Silva; Daniel Lucrédio,N/A
Guidelines for Data Engineering Documentation in a DevDocOps Approach,2024,SBC,Stephany Mendes Oliveira; Daniel Lucrédio,N/A
Committee of NAS-based models,2021,IEEE,Bruno S Sette; Lucas C Silva; Fernando R Zagatt; Lucas NS Silva; Daniel Lucrédio; Helena M Caseli; Diego F Silva,N/A
A metamodel to support the formalization of coding conventions= Um metamodelo para apoiar a formalização de convenções de codificação,2020,N/A,Elder de Oliveira Rodrigues Júnior,N/A
OfflineManager: a Detailed Description of an Heuristic Evaluation,2019,N/A,Sidarta Fernandes; Matheus G Lucena; Luis P Pegurin; Juliano Z Blanco; Daniel Lucrédio,N/A
Late Decomposition of Applications into Services through Model-Driven Engineering,2017,Proceedings of the XXXI Brazilian Symposium on Software Engineering,Vinicius Nordi Esperança; Daniel Lucrédio,N/A
Supporting Multiple Persistence Models for PaaS Applications using MDE,2015,N/A,Elias Adriano Nogueira da Silva; Daniel Lucrédio; Ana Moreira; Renata Fortes,N/A
EzEventForGinga-J-Sites de Eventos via TV Digital Interativa,2014,N/A,Hebert Luchetti Ribeiro; Daniel Lucrédio,N/A
Servidor Proxy HTTP com Módulos Bloqueadores de Conteúdo,2014,N/A,Alexandre de Paula; Daniel Lucrédio,N/A
Estudo da Influência da Injeção de Dependência na Manutenção de Sistemas,2013,N/A,Bruno Godoy Martins Corrêa; Daniel Lucrédio,N/A
Avaliação do Desempenho de um Sistema de Gerenciamento e Monitoramento de Frotas Utilizando a Arquitetura EJB,2013,N/A,Bruno Lorenço Lopes; Daniel Lucrédio,N/A
Utilizando padrões de Projeto JEE no desenvolvimento de aplicações web: um estudo de caso,2012,N/A,Leandro Lupianhez; Daniel Lucrédio,N/A
Guia da disciplina: Desenvolvimento de Projeto de Sistemas,2011,N/A,Daniel Lucrédio,N/A
Designing Domain Architectures for Model-Driven Engineering,2010,N/A,Renata PM Fortes; Daniel Lucrédio; Silvio L Meira; Eduardo S Almeida,N/A
An Assessment on Technologies for Implementing Core Assets in Service-Oriented Product Lines,2010,N/A,Alexandre Álvaro; Silvio Romero de Lemos Meira; Daniel Lucrédio; Heberth Braga G Ribeiro; Vinicius Cardoso Garcia; Vander Alves; Eduardo Santana de Almeida,N/A
Posters of the 2004 DOA (Distributed Objects and Applications) International Conference-Towards an Incremental Process Model Based on AOP for Distributed Component-Based Software Development,2004,"Berlin: Springer-Verlag, 1973-",Alexandre Alvaro; Daniel Lucredio; Antonio Francisco do Prado; Eduardo Santana de Almeida,N/A
Student's PLoP Guide: A Pattern Family to Guide Computer Science Students during PLoP Conferences,2004,N/A,Alexandre Alvaro; Vinicius Cardoso Garcia,N/A
Do Good Practices Lead to More Bug-Finding Effectiveness of Test Cases? A Study Based on Repository Mining,N/A,N/A,Daniel Lucredio; Auri Vincenzi; Eduardo Santana de Almeida; Iftekhar Ahmed,N/A
Estudo da Influência da Injecāo de Dependência,N/A,N/A,Bruno Godoy Martins Corrêa; Daniel Lucrédio,N/A
Construção de Compiladores,N/A,N/A,Daniel Lucrédio,N/A
Software Reuse: A Brief Overview of the Brazilian Industry’s Case,N/A,N/A,Kellyton dos Santos Brito; Alexandre Alvaro; Daniel Lucrédio; Eduardo Santana de Almeida; Silvio Lemos Meira,N/A
"Proceedings of Conference on Object-oriented Programming Systems, Languages, and Applications (OOPSLA), pp. 341-358, Vancouver, BC, Canada.",N/A,N/A,E Almeida; A Alvaro; V Garcia; J Mascena; V Burégio; L Nascimento; D Lucrédio; S Meira; P Ardimento; A Bianchi; G Visaggio,N/A
SBCARS 2015 Program Committee,N/A,N/A,Alexandre Alvaro; Aline Vasconcelos; Ana Paula Bacelo; Antonio Francisco do Prado; Arndt von Staa; Camila Nunes; Cecília Rubira; Christian Kastner; Christoph Treude; Claudia Werner; Claudio Santanna; Daniel Lucrédio; Edson Oliveira Jr; Eduardo Figueiredo; Eduardo Almeida; Elder Cirilo; Elisa Yumi Nakagawa; Ellen Barbosa; Flavia Delicato; Flavio Oquendo; Franklin Ramalho; Genaina Rodrigues; Gibeon Aquino; Gledson Elias; Guilherme Travassos; Ingrid Nunes; Itana MS Gimenes; Ivan Machado; J Andres Diaz-Pace; Jobson Massollar; Kiev Gama; Leopoldo Teixeira; Lucineia Heloisa Thom; Marcelo Fantinato; Marcelo Medeiros Eler; Marcilio Mendonça; Márcio Ribeiro; Marco Gerosa; Martin Becker; Maurice H ter Beek; Nélio Cacho,N/A
SBCARS 2012,N/A,N/A,Alessandro Garcia; Alexandre Alvaro; Alexandre Correa; Ana Paula Bacelo; Antonio Francisco Prado; Cecilia Rubira; Claudia Werner; Sant'Anna Cláudio; Daniel Lucrédio; David Weiss; Elisa Yumi Nakagawa; Ellen Francine Barbosa; Flavio Oquendo; Guilherme Travassos; Itana Maria de Souza Gimenes; Ivica Crnkovic; Jeffrey Poulin; Jó Ueyama; Jobson Massollar; John McGregor; José Maldonado; Lidia Fuentes; Márcio Barros; Marcelo Fantinato; Marco Aurelio Gerosa; Marco Tulio Valente; Maurizio Morisio; Oliver Hummel; Padraig O'Leary,N/A
SBCARS 2016,N/A,N/A,Alexandre Alvaro; Aline Vasconcelos; Arndt von Staa; Camila Nunes; Cecilia Rubira; Christina Chavez; Christoph Treude; Claudia Werner; Claudio Santanna; Dalton Serey; Daniel Lucredio; Edson Oliveira Jr; Eduardo Almeida; Eduardo Figueiredo; Eduardo Guerra; Elder Cirilo; Elisa Yumi Nakagawa; Fernando Castor; Flavia Delicato; Flávio Medeiros; Flavio Oquendo; Franklin Ramalho; Genaina Rodrigues; Gledson Elias; Guilherme Travassos; Gustavo Henrique Lima Pinto; Igor Steinmacher; Igor Wiese; Itana MS Gimenes; Ivan Machado; J Andres Diaz-Pace; José Maria David; Kiev Gama; Leonardo Murta; Leopoldo Teixeira; Lidia Fuentes; Lucineia Heloisa Thom; Luís Soares Barbosa; Marcelo Fantinato; Marcelo Maia; Marcelo Medeiros Eler; Marcilio Mendonca; Marcio Ribeiro; Marco Gerosa; Marco Tulio Valente; Martin Becker,N/A
COMPSAC 2004,N/A,N/A,F Ho; E de Almeida; A Alvaro; D Lucredio; A do Prado; L Trevelin,N/A
Construção e Reutilização de Componentes de Software do Domínio de Cardiologia,N/A,N/A,João LC Moraes; Daniel Lucrédio; Adriano A Bossonaro; Rubens Tofano; Antonio F Prado,N/A
Aula 09,N/A,N/A,Daniel Lucrédio,N/A
Análise de métodos de avaliação de jogos educacionais,2014,N/A,Marcos Tsuda; Vinícius Moro Sanches; Thalles Gonçalves Ferreira; Joice Lee Otsuka; Delano Medeiros Beder,N/A
An exception handling software architecture for developing fault-tolerant software,2000,IEEE,Alessandro F Garcia; Delano M Beder; Cecilia MF Rubira,N/A
Design and implementation of an educational game considering issues for visually impaired people inclusion,2020,Springer Singapore,Luiz Valério Neto; Paulo HF Fontoura Junior; Rogério A Bordini; Joice L Otsuka; Delano M Beder,N/A
An application of fault tolerance patterns and coordinated atomic actions to a problem in railway scheduling,2000,ACM,Delano M.  Beder; A Romanovsky; Brian Randell; C. Richard  Snow; Robert J.  Stroud,N/A
Exploiting self-organization and fault tolerance in wireless sensor networks: A case study on wildfire detection application,2017,SAGE Publications,Felipe Taliar Giuntini; Delano Medeiros Beder; Jo Ueyama,N/A
JaBUTiService: a web service for structural testing of java programs,2009,IEEE,Marcelo Medeiros Eler; Andre Takeshi Endo; Paulo Cesar Masiero; Marcio Eduardo Delamaro; Jose Carlos Maldonado; Auri Marcelo Rizzo Vincenzi; Marcos Lordello Chaim; Delano Medeiros Beder,N/A
An exception handling mechanism for developing dependable object-oriented software based on a meta-level approach,1999,IEEE,Alessandro F Garcia; Delano M Beder; Cecília MF Rubira,N/A
A context-aware and self-adaptive offloading decision support model for mobile cloud computing system,2018,Springer Berlin Heidelberg,Flávio Akira Nakahara; Delano Medeiros Beder,N/A
A multi-agent formative assessment support model for learning management systems,2007,IEEE,Joice Lee Otsuka; Heloisa Vieira da Rocha; Delano Medeiros Beder,N/A
Método baseado em heurísticas para avaliação de acessibilidade em sistemas de informação,2009,N/A,Eduardo Hideki Tanaka,N/A
On applying coordinated atomic actions and dependable software architectures for developing complex systems,2001,IEEE,Delano M Beder; Brian Randell; Alexander Romanovsky; Cecília MF Rubira,N/A
Details on the design and evaluation process of an educational game considering issues for visually impaired people inclusion,2019,International Forum of Educational Technology & Society,Luiz Valério Neto; Paulo HF Fontoura Junior; Rogério A Bordini; Joice L Otsuka; Delano M Beder,N/A
A unified meta-level software architecture for sequential and concurrent exception handling,2001,Oxford University Press,Alessandro F Garcia; Delano M Beder; Cecilia MF Rubira,N/A
A study of test techniques for integration with domain driven design,2015,IEEE,Eloisa Cristina Silva Santos; Delano Medeiros Beder; Rosângela A Dellosso Penteado,N/A
Uso de protótipo em papel no design de um jogo educacional acessível,2014,sn,Aline Natalia Domingues; Marcelo Lopes Lotufo; Alexandre Freitas Souza Silva; ACP Guimaraes; JGSF Esteves; Joice Lee Otsuka; Delano Medeiros Beder; Silvia Helena Zem-Mascarenhas,N/A
An automated approach for acceptance web test case modeling and executing,2010,Springer Berlin Heidelberg,Felipe M Besson; Delano M Beder; Marcos L Chaim,N/A
A case study of the development of e-learning systems following a component-based layered architecture,2007,IEEE,Delano M Beder; Andre C Silva; Joice L Otsuka; Celmar G Silva; Heloisa V Rocha,N/A
Towards the definition of a context-aware exception handling mechanism,2011,IEEE,Delano Medeiros Beder; Regina Borges de Araújo,N/A
Processo de Design de um jogo eletrônico para o aprendizado de Teclado Musical,2014,N/A,Rogério Augusto Bordini; JL Otsuka; DM Beder; LL Fonseca; PG Freitas; AP Nunes; DL Santiago; GL Santiago; MR Oliveira,N/A
Design e avaliação de um jogo educacional para promoção da saúde e combate à obesidade infantil,2015,N/A,JD Dias; MS Mekaro; JKC Lu; GS Sorrentino; JL Otsuka; DM Beder; SH Zem-Mascarenhas; LMM Fonseca,N/A
Jogo educacional sobre segurança do paciente: avaliação de estudantes de enfermagem,2015,N/A,Aline Natalia Domingues; Marcelo Lopes Lotufo; Rogério Augusto Bordini; Catarine Santana Ohnuma; Luiz Valério Neto; Joice Lee Otsuka; Marcos Tsuda; Wellyson Freitas Santos; Delano Medeiros Beder,N/A
Avaliação do Protótipo de um game educacional de Música,2014,N/A,Rogério A Bordini; JL Otsuka; DM Beder; LL Fonseca; PG Freitas; AP Nunes; DL Santiago; GL Santiago; MR Oliveira,N/A
Flexft: A generic framework for developing fault-tolerant applications in the sensor web,2013,SAGE Publications,Delano Medeiros Beder; Jó Ueyama; João Porto de Albuquerque; Marcos Lordello Chaim,N/A
Desenvolvimento de jogo educativo sobre segurança do paciente para ensino profissionalizante de enfermagem,2014,N/A,Aline Natalia Domingues; André de Castro Pessoa Guimarães; Alexandre Freitas Souza Silva; João Gabriel Salzano Fiori Esteves; Marcelo Lopes Lotufo; Daniel Lopes Santiago; Rogério Augusto Bordini; Silvia Helena Zem-Mascarenhas; Delano Medeiros Beder; Joice Lee Otsuka,N/A
Desenvolvimento de jogos educacionais abertos,2012,N/A,Joice Otsuka; Delano M Beder; Paulo Montanaro; Ivan Rocca; Alan Ghelardi,N/A
A meta-level software architecture based on patterns for developing dependable collaboration-based designs,2000,SBC,Delano M Beder; Cecília MF Rubira,N/A
"Design and implementation of an educational game considering issues for visually impaired people inclusion. Smart Learn. Environ. 7 (1), 1–16 (2019)",N/A,N/A,LV Neto; PH Fontoura Junior; RA Bordini; JL Otsuka; DM Beder,N/A
A platform for customization and publication of open educational games,2019,N/A,Delano Beder; Joice Otsuka,N/A
Estudo sobre dados relevantes para o acompanhamento de participações em jogos educacionais,2019,N/A,Frederico Cardoso; Joice Otsuka; Miguel Sousa Tosta; Delano Beder,N/A
Desenvolvimento de Aplicações e Micro Serviços: Um estudo de caso,2016,N/A,Pedro Felipe Marques Moreira; Delano Medeiros Beder,N/A
Desenvolvimento e avaliação de um jogo educacional digital para enfrentamento da obesidade infantil,2015,N/A,Jéssica Dias; Marcelo Mekaro; Jennifer Lu; Gabriel Sorrentino; Joice Otsuka; Delano Beder; Silvia Zem-Mascarenhas; Luciana Mara Monti Fonseca,N/A
The TIDIA-Ae Portfolio Tool: a case study of its development following a component-based layered architecture,2005,N/A,Delano M Beder; JL Otsuka; CG Silva; ACDA Silva; Americo Talarico Neto; Alessandro Oliveira; HV Rocha; Ivan Ricarte; Júnia Coutinho Anacleto Silva,N/A
Musikinésia--An Educational Adventure Game for Keyboard Learning,2015,IEEE,Rogerio Augusto Bordini; Joice Lee Otsuka; Delano Medeiros Beder; Lucas Ferreira Fonseca; Pablo Augusto Goncalves de Freitas; Antonio Avanzi Nunes; Daniel Lopes Santiago; Glauber Lucio Alves Santiago; Marcia Rozenfeld Gomes de Oliveira,N/A
DIGESTOWER: jogo educacional para auxiliar o enfrentamento da obesidade infantil,2014,N/A,Jéssica David Dias; GS Sorrentino; DM Beder; MS Mekaro; Daniel Lopes Santiago; RA Bordini; JKC Lu; JL Otsuka; Silvia H Zem-Mascarenhas,N/A
Remar: uma plataforma de apoio à publicação e customização de jogos educacionais abertos,2017,N/A,Delano Beder; Joice Otsuka; Gustavo Braghim; Hugo Moura; Lucas Aciole; Pedro Garcia,N/A
LabTecA-Laboratório Virtual de Química Analítica,2017,N/A,Rogério Augusto Bordini; Joice Otsuka; Delano Beder; Thiago Morano; Leonardo Tavares; Ana Esther Camargo; Catarine Ohnuma; Maria Teresa Borges,N/A
DigesTower: serious game como estratégia para prevenção e enfrentamento da obesidade infantil,2016,N/A,Jéssica Dias; Marcelo Mekaro; Jennifer Lu; Gabriel Sorrentino; Marcos Tsuda; Joice Otsuka; Delano Beder; Silvia Zem-Mascarenhas,N/A
Design de Em Busca do Santo Grau–Jogo Eletrônico Educacional Customizável,2016,Brazilian Computer Society,R Bordini; J Otsuka; D Beder; A de Camargo; L Valério Neto; Marcos Tsuda,N/A
Design e avaliação de um jogo educacional de anatomia e fisiologia digestória humana,2016,N/A,Jéssica David Dias; Marcelo Shinyu Mekaro; Jennifer Kaon Cheng Lu; GSSM Tsuda; Joice Lee Otsuka; Delano Medeiros Beder; Silvia Helena Zem-Mascarenhas,N/A
Recursos educacionais multiplataformas abertos na rede,2015,N/A,Delano Beder; Joice Otsuka; Denis Cappelini; Matheus V Fernandes; Rener B da Silva; Alex R Guido,N/A
Aplicação de redes de sensores lógicos no monitoramento de ambientes de aprendizagem,2009,N/A,Gislaine C Micheloti Rosales; Regina B Araujo; Joice Lee Otsuka; Delano Medeiros Beder,N/A
Framework para execução automatizada de testes de aplicacões web,2008,N/A,Felipe M Besson; Delano M Beder; Marcos L Chaim,N/A
Uma arquitetura de software baseada em padrões de projeto para o desenvolvimento de aplicações concorrentes confiaveis.,2001,N/A,Delano Medeiros Beder,N/A
Integraçao dos Mecanismos de Recuperaçao de Erros por Avanço e Retrocesso,1997,N/A,Delano Medeiros Beder; LE Buzato,N/A
On subsumption relationships in data flow testing,2023,N/A,Marcos Lordello Chaim; Kesina Baral; Jeff Offutt; Mario Concilio Neto; Roberto Paulo Andrioli de Araujo,N/A
Recomendações de design para promover o engajamento em jogos digitais educacionais: um mapeamento sistemático da literatura,2022,SBC,Elyssa DR Bueno; Delano M Beder; Joice L Otsuka,N/A
Musikinésia: Jogo eletrônico gratuito para a aprendizagem de teclado e leitura musical,2016,N/A,Rogério Augusto Bordini; Joice Otsuka; Delano Beder; Lucas Ferreira Fonseca; Antônio Pedro Avanzi Nunes; Daniel Lopes Santiago; Pablo Augusto Gonçalves de Freitas; Glauber Santiago,N/A
Aplicativos Android: desenvolvimento nativo x uso de ferramentas baseadas em padrões web,2016,N/A,Marcos Roberto da Fonseca; Delano Medeiros Beder,N/A
LABTECA: EXPERIÊNCIA LÚDICA EM UMLABORATÓRIO 3D DE QUÍMICA,2015,N/A,Joice Lee Otsuka; Rogério Augusto Bordini; Delano Medeiros Beder; Ana Esther Rodrigues de Camargo; Thales Menato; Maria Teresa Mendes Ribeiro Borges,N/A
Musikinésia: Jogo eletrônico para o aprendizado de teclado musical,2015,N/A,Rogério Augusto Bordini; Joice Otsuka; Delano Beder; Lucas Ferreira Fonseca; Pablo Augusto Gonçalves de Freitas; Antônio Pedro Avanzi Nunes; Daniel Lopes Santiago; Glauber Santiago,N/A
Protótipo digital do Cuidando Bem: um jogo educacional sobre Segurança do Paciente,2015,N/A,Aline Domingues; Ana Esther Camargo; Jessica Sayuri Nishiguchi; Marcelo Lotufo; Rogério Augusto Bordini; Delano Beder; Joice Otsuka; Silvia Zem-Mascarenhas,N/A
Avaliação de estudantes de enfermagem sobre jogo educacional de anatomia e fisiologia digestória humana,2015,N/A,Jéssica David Dias; Marcelo Shinyu Mekaro; Jennifer Kaon Cheng Lu; Gabriel Silva Sorrentino; Marcos Tsuda; Rogério Augusto Bordini; Joice Lee Otsuka; Delano Medeiros Beder; Silvia H Zem-Mascarenhas,N/A
Desenvolvimento de Jogo Educativo sobre Anatomofisiologia Digestória para Auxílio a Cursos Técnicos de Enfermagem,2014,N/A,Marcelo Shinyu Mekaro; Jéssica David Dias; Jennifer Kaon Cheng Lu; Thalles Gonçalves Ferreira; Daniel Lopes Santiago; Aldrin Rappl; Joice Lee Otsuka; Delano Medeiros Beder; Silvia Helena Zem-Mascarenhas,N/A
Logical and physical sensors-based online assessment security support,2012,IEEE,Juliana Augusto Stocco; Joice Lee Otsuka; Delano Medeiros Beder; Gislaine Cristina Micheloti; Regina Borges de Araujo,N/A
A generic policy-free framework for fault-tolerant systems: Experiments on WSNs,2011,IEEE,Delano M Beder; Jó Ueyama; Marcos L Chaim,N/A
Um conjunto de ferramentas para modelagem de casos de teste de aceitaçao de aplicaçoes web,2009,"IEEE Computer Society Los Alamitos, CA, USA",Felipe M Besson; Delano M Beder; Marcos L Chaim,N/A
Um estudo sobre recomendações para o design de jogos educacionais multiplayer,2022,SBC,Patricia Ziviani; Delano Medeiros Beder; Joice Lee Otsuka,N/A
Design e Avaliação de um Jogo Educacional Web Inclusivo Multidispositivo e Customizável seguindo o conjunto EduGameAccess-M,2020,SBC,Joice Lee Otsuka; Ana Paula de Sousa Reis; Caio Vinicius B Santos; Jhonata Nícolas C Querobim; Mariana Z Sabino; Delano M Beder,N/A
Em busca do Santo Grau-jogo educacional com desafios customizáveis,2018,UFSCar,Rogério Augusto Bordini; Joice Lee Otsuka; Delano Medeiro Beder; Luiz Valério Neto; Douglas Antônio Martins Barbino; Catarine Santana Onhuma; Ana Esther Rodrigues de Camargo; Paulo Henrique Ferreira Fontoura Junior,N/A
Cuidando Bem: um serious game sobre segurança do paciente para o ensino de enfermagem,2016,N/A,Aline Domingues; Catarina Santana Ohnuma; Breno Calixto Santos; Marcelo Lotufo; Rogério Augusto Bordini; Joice Otsuka; Silvia Zem-Mascarenhas; Delano Beder,N/A
A Code Generation Tool for the TIDIA-Ae Component-Based Architecture,2006,N/A,Delano M Beder; André C Silva; Joice L Otsuka; Samuel B Buchdid; Celmar G Silva; Heloísa V Rocha,N/A
Segurança em Sistemas de Micropagamentos Eletrônicos,1998,SBC,Alexandre M Braga; Delano M Beder; Ricardo Dahab; Cecília MF Rubira,N/A
Design de Jogos Colaborativos que incluam pessoas com Transtorno do Espectro Autista: Uma Revisão Sistemática da Literatura,2023,N/A,Rhana Omolayo Pinheiro Oresotu; Delano Medeiros Beder; Joice Lee Otsuka,N/A
Explorando a Convergência entre IoT e Jogos na Educação: Um Mapeamento Sistemático,2023,N/A,Sérgio Santos S Filho; Joice Lee Otsuka; Delano M Beder; Natália Tripoloni Tangerino Silva; Daniela C de Oliveira; Maria GD Furquim; Ubirajara Martin Coelho; Wesley Barbosa Thereza,N/A
Concepção de um conjunto de recomendações de desenvolvimento e aplicação para promover o engajamento em jogos digitais educacionais abertos,2023,SBC,Elyssa DR Bueno; Delano M Beder; Joice L Otsuka,N/A
Mock objects: a case study in industry✱,2023,Proceedings of the XIX Brazilian Symposium on Information Systems,Camilo Hernán Villota Ibarra; Daniel Lippi Castro De Faria; André Takeshi Endo; Delano Medeiros Beder; Auri Marcelo Rizzo Vincenzi,N/A
Um Estudo Comparativo das Tecnologias Godot e Vulkan no Desenvolvimento de Recursos Educacionais Multiplataforma Abertos,2021,N/A,Delano Medeiros Beder; Guilherme Locca Salomão,N/A
Engenharia web: uma abordagem sistemática para o desenvolvimento de aplicações web,2017,N/A,Delano Medeiros Beder,N/A
Introdução à Programação Orientada a Objetos em Java,2017,N/A,Delano Medeiros Beder,N/A
Musikinésia: Uma Aventura Musical Educativa,2014,N/A,Glauber Lúcio Alves SANTIAGO; Joice Lee OTSUKA; Delano Medeiros BEDER; Rogério Augusto BORDINI; Pablo Augusto Gonçalves FREITAS; Lucas Ferreira Ferreira FONSECA; Daniel Lopes SANTIAGO; Antônio Pedro Avanzi NUNES,N/A
Musikinésia: Uma Aventura Musical Educativa,2014,N/A,Rogério Augusto Bordini; Pablo Augusto Gonçalves Freitas; Lucas Ferreira Fonseca; Daniel Lopes Santiago; Antônio Pedro Avanzi Nunes; Joice Lee Otsuka; Delano Medeiros Beder; Glauber Lúcio Alves Santiago; Marcia Rozenfeld Gomes de Oliveira,N/A
Research Article FlexFT: A Generic Framework for Developing Fault-Tolerant Applications in the Sensor Web,2013,N/A,Delano Medeiros Beder; Jó Ueyama; João Porto de Albuquerque; Marcos Lordello Chaim,N/A
Análise de artefatos de teste,2009,N/A,Marcos Lordello Chaim; Anthony Accioly; Delano Medeiros Beder,N/A
Uma suíte de ferramentas para modelagem de casos de teste de aceitação de aplicações Web,2009,N/A,Felipe M Besson; Delano Medeiros Beder; Marcos Lordello Chaim,N/A
JaBUTiService: A Web Service for Structural Testing of Java Programs,N/A,N/A,Auri Marcelo Rizzo Vincenzi; Marcos Lordello Chaim; Delano Medeiros Beder,N/A
Histórico de Revisões,N/A,N/A,Joice Lee Otsuka; Delano Medeiros Beder; André Constantino da Silva,N/A
Laboratório de Objetos de Aprendizagem (LOA): Experiência interdisciplinar na metodologia de desenvolvimento de jogos,N/A,N/A,Luiz Valério Neto; Aline Natalia Domingues; Rogério Augusto Bordini; Marcos Tsuda; Ana Esther Rodrigues de Camargo; Joice Lee Otsuka; Delano Medeiros Beder,N/A
Algoritmos de Ordenação: HeapSort,N/A,N/A,Delano M Beder,N/A
Portfolio overview: Looking inside a component-based TIDIA-Ae tool,N/A,N/A,Celmar G Silva; Delano M Beder; Joice Lee Otsuka; André C Silva; Américo T Neto; Alessandro R Oliveira; Heloísa Vieira da Rocha; Ivan LM Ricarte; Junia CA Silva,N/A
A Generic Policy-free Framework for Fault-tolerant Systems,N/A,N/A,Delano M Beder; Jó Ueyama; Marcos L Chaim; Ciências e Humanidades,N/A
InSS—Instrumentation Strategies Simulator,N/A,N/A,Marcos L Chaim; Anthony Accioly; Delano Medeiros Beder; Marcelo Morandini; Helton Bıscaro,N/A
Message from the First Workshop on Exception Handling in Contemporary Software Systems (EHCoS) General and Program Committee Chairs,N/A,N/A,Delano Beder; Cecília Rubira,N/A
First Workshop on Exception Handling in Contemporary Software Systems (EHCoS) Committees,N/A,N/A,Delano Beder; Cecília Rubira; Alessandro Garcia; Jó Ueyama; F Mattielo-Francisco; Renato Cerqueira; Avelino Zorzo; Christophe Dony; Eliane Martins; Fernando Castor Filho; Francois Taiani; Jörg Kienzle; Henrique Madeira; Ivica Crnkovic; Marco Vieira; Nélio Cacho; Patrick Brito; Paulo Marques; Roberta Coelho; Rogério de Lemos; Sasikumar Punnekkat; Taisy Silva Weber; Thais Batista,N/A
